1, 0.312335
2, 0.265284
3, 0.266683
4, 0.243567
5, 0.237930
6, 0.241151
7, 0.218334
8, 0.209081
9, 0.207214
10, 0.201188
11, 0.198516
12, 0.196612
13, 0.181202
14, 0.189296
15, 0.175528
16, 0.165387
17, 0.163160
18, 0.164722
19, 0.158077
20, 0.174312
21, 0.163296
22, 0.169477
23, 0.172494
24, 0.161554
25, 0.164111
26, 0.170039
27, 0.162251
28, 0.154727
29, 0.150937
30, 0.159083
31, 0.158637
32, 0.153557
33, 0.159988
34, 0.147487
35, 0.172292
36, 0.144546
37, 0.158449
38, 0.169198
39, 0.139810
40, 0.150667
41, 0.157277
42, 0.156478
43, 0.162704
44, 0.160516
45, 0.173575
46, 0.155379
47, 0.133068
48, 0.154898
49, 0.154581
50, 0.159729
51, 0.166999
52, 0.140369
53, 0.146894
54, 0.158317
55, 0.149282
56, 0.157697
57, 0.154888
58, 0.145661
59, 0.155115
60, 0.164156
61, 0.178570
62, 0.168308
63, 0.154402
64, 0.150244
65, 0.157600
66, 0.177316
67, 0.167223
68, 0.149228
69, 0.165095
70, 0.156525
71, 0.148475
72, 0.156770
73, 0.180951
74, 0.158300
75, 0.163250
76, 0.177915
77, 0.168195
78, 0.152325
79, 0.155992
80, 0.181988
81, 0.173601
82, 0.172786
83, 0.160416
84, 0.195067
85, 0.174801
86, 0.162091
87, 0.154253
88, 0.153758
89, 0.169503
90, 0.155703
91, 0.146871
92, 0.171926
93, 0.185508
94, 0.186032
95, 0.203476
96, 0.172343
97, 0.167129
98, 0.163432
99, 0.182807
100, 0.175666
